21.26 F20 -4.41 6.10 0.0041 50.6 1.9 80.6 1.0229 1.0148 0.9622 0.0026 0.0026 0.0026 36.7 6.6 5.7 1.008 1.055 1.063 1.069 0.740 0.733 0.143 1.046 190 100 2 4 1 86 1.0224 1.0151 0.9625 0.0014 0.0003 0.0044 07/12/96
21.38 F21 -4.55 12.75 0.0027 79.4 1.3 134.1 1.0175 1.0132 0.9693 0.0017 0.0017 0.0017 41.8 5.1 4.6 1.004 1.045 1.050 1.055 0.823 0.819 0.095 1.041 220 130 18 1 1 88 1.0157 1.0150 0.9693 0.0021 -0.0004 -0.0012 07/18/96
22.14 E53 -4.55 7.50 0.0034 102.6 9.5 145.7 1.0288 1.0142 0.9570 0.0021 0.0021 0.0021 18.5 4.9 3.9 1.014 1.060 1.075 1.080 0.605 0.593 0.226 1.043 13 104 225 3 2 37 1.0279 1.0149 0.9572 0.0032 0.0023 0.0029 07/18/96
22.47 E55 -4.55 7.64 0.0034 58.9 5.7 83.0 1.0225 1.0109 0.9666 0.0022 0.0022 0.0022 23.4 6.5 5.1 1.011 1.046 1.058 1.061 0.595 0.586 0.231 1.034 15 106 256 5 9 80 1.0216 1.0103 0.9682 0.0025 0.0079 0.0029 07/18/96
22.89 E57 -4.55 14.62 0.0028 73.5 2.1 119.6 1.0180 1.0123 0.9697 0.0017 0.0017 0.0017 35.2 5.4 4.8 1.006 1.044 1.050 1.055 0.769 0.764 0.126 1.038 351 81 259 0 3 87 1.0179 1.0123 0.9698 -0.0009 -0.0019 0.0004 07/18/96
23.03 E58 -4.55 13.26 0.0023 152.6 5.7 243.2 1.0221 1.0143 0.9637 0.0015 0.0015 0.0015 23.3 3.8 3.3 1.008 1.053 1.061 1.066 0.740 0.734 0.143 1.045 172 82 268 1 8 82 1.0219 1.0134 0.9647 -0.0011 0.0073 0.0001 07/18/96
23.81 E39 -4.55 17.55 0.0025 117.5 0.8 206.4 1.0193 1.0160 0.9648 0.0016 0.0016 0.0016 48.3 4.1 3.9 1.003 1.053 1.056 1.064 0.883 0.880 0.062 1.050 280 10 175 0 2 88 1.0160 1.0192 0.9648 -0.0006 -0.0002 0.0016 07/18/96
24.08 E41 -4.55 18.32 0.0016 264.0 9.1 424.0 1.0206 1.0136 0.9658 0.0010 0.0010 0.0010 18.9 2.9 2.5 1.007 1.050 1.057 1.062 0.751 0.745 0.136 1.042 147 56 278 3 4 85 1.0185 1.0154 0.9661 -0.0032 0.0043 -0.0009 07/18/96
24.69 E44 -4.55 30.49 0.0024 113.6 0.6 201.5 1.0178 1.0152 0.9670 0.0015 0.0015 0.0015 53.1 4.2 3.9 1.003 1.050 1.053 1.059 0.899 0.896 0.053 1.047 232 142 31 4 1 86 1.0160 1.0168 0.9672 0.0012 -0.0018 -0.0029 07/18/96
24.85 E45 -4.55 22.77 0.0017 307.6 12.5 486.4 1.0237 1.0151 0.9612 0.0011 0.0011 0.0011 16.3 2.7 2.3 1.009 1.056 1.065 1.071 0.731 0.724 0.148 1.047 344 74 205 2 1 88 1.0230 1.0157 0.9613 -0.0023 0.0008 0.0022 07/18/96
